Financial Institution,Branch Name,Address,Phone Numbers,Manager,Hours,Minimum Opening Deposit,Minimum Balance,Monthly Fee,Checks included,Check/Debit Card included,Online Bill Pay,Alternative IDs Accepted as Primary Identification,Open Accounts for customers with ChexSystems History,Remittance products available,Wire Transfers,Money Orders,Offer Financial Education,First Overdraft Fees Waived,Overdraft Fees,Bounced Check Fee
Bank of America,Bayview,5000 3rd St. San Francisco CA 94124,(415) 822-9590,Freda Parker-Love,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Civic Center,1525 Market St. San Francisco CA 94102,(415)622-5101,Duane Miller,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Downtown/Union Square,1 Powell St. San Francisco CA 94102,(415) 837-1394,Cathy O'Shea,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Mission,2701 Mission St. San Francisco CA 94110,(415) 401-1554,Gisela Delgado,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Mission,3250 Mission St. San Francisco CA 94110,(415) 401-1582,Carlos Avalos,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Van Ness,1640 Van Ness Ave. San Francisco CA 94109,(415)622-4452,Dennis Peng,"Mon-Fri 9-6pm
 Sat 10am-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Excelsior,15 Ocean Ave. San Francisco CA 94112,(415)622-3240,Tiffany Jew,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Portola,2485 San Bruno Ave. San Francisco CA 94066,(415) 715-2885,Joe Kwong,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Oceanview,5150 Mission St. San Francisco CA 94112,(415)622-4233,Joe Scampini,"Mon-Fri 9-6pm
 Sat 10am-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Visitation Valley,6 Leland Ave. San Francisco CA 94134,(415) 406-1463,Sandra Gutierrez,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 10AM-2PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,4th & Brannan,501 Brannan St. San Francisco CA 94107,(415) 622-6615,Diana Tse,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,7th & Clement,600 Clement St. San Francisco CA 94118,(415) 622-6730,William Chan,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,21st & Irving,1945 Irving St.  San Francisco CA 94122,(415) 622-4863,Robin Cheng,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,38th & Balboa,3701 Balboa St.  San Francisco CA 94121,(415) 622-0564,Man Lam,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,50 California,50 California St.  San Francisco CA 94111,(415) 622-4465,Brandon Vo,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Bernal Heights,433 Cortland Ave. San Francisco CA 94110,(415) 401-1570,Yolanda Ramirez,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 10AM-2PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Buena Vista Park,1275 Fell St.  San Francisco CA 94117,(415) 241-5161,Marcia Zepeda,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Castro,501 Castro St.  San Francisco CA 94114,(415) 622-5990,Michael Hager,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Chestnut Street,2200 Chestnut St.  San Francisco CA 94123,(415) 953-2472,Germaine Milber-Rush,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Columbus,1455 Stockton St.  San Francisco CA 95203,(415) 622-2361,Nancy Chen,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Diamond Heights,5268 Diamond Heights Blvd.  San Francisco CA 94131,(415) 953-2772,Troy Johnson,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Geary-Masonic,2835 Geary Blvd.  San Francisco CA 94118,(415) 447-4763,Carlos Alfonso,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Golden Gateway,500 Battery St.  San Francisco CA 94111,(415) 622-0138,Angel Reyes,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Lakeshore Plaza IS,1515 Sloat Blvd San Francisco CA 94132,(415) 622-5235,Wes Lind,"Mon-Fri 9-6pm
 Sat 9am-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Laurel Village,3565 California St.  San Francisco CA 94118,(415) 622-2875,Balvinder Birak,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Mandarin Tower,944 Stockton St.  San Francisco CA 95203,(415) 622-6398,Karen Woo,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Market-New Montgomery,33 New Montgomery San Francisco CA 94105,(415) 624-1319,Jon Wiesner,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Noe Valley,4038 24th St.  San Francisco CA 94114,(415) 401-1682,Becky Feijoo,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Noriega-31st.,2325 Noriega St.  San Francisco CA 94122,(415) 622-4321,Rosemarie Clark,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,One Market Plaza,1 Market St.  San Francisco CA 94105,(415) 222-7457,Robert Estilo,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Union Square,445 Powell Street San Francisco CA 94102,(415) 622-2949,N/A,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Pacific Heights,2310 Fillmore St.  San Francisco CA 94115,(415) 622-4211,Leslie Horgan,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Parkside,1007 Taraval St.  San Francisco CA 94116,(415) 242-8712,Margaret Chow,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Potrero Design Center,680 8th St.  San Francisco CA 94103,(415) 622-5979,Ardiana Gaitan,Monday-Friday 9AM-5PM,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Richmond District,5500 Geary Blvd.  San Francisco CA 94121,(415) 622-4054,Bonnie Huynh,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,San Francisco Main,345 Montgomery St.  San Francisco CA 94104,(415) 622-9347,Lana Orin,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,San Francisco Produce,2090 Jerold Ave.  San Francisco CA 94124,(415) 401-1751,Edith Lule,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Stonestown,245 Winston Dr.  San Francisco CA 94132,(415) 622-5446,Wendy Lam,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Sunset,800 Irving St.  San Francisco CA 94122,(415) 622-7932,Kevin Guan,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Union Street,1995 Union St.  San Francisco CA 94123,(415) 622-0471,Hailey Curtner,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,West Portal,288 West Portal Ave.  San Francisco CA 94127,(415) 622-5350,Heather Prochazka,"Mon-Fri 9-6pm
 Sat 10-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of the West,Daly City,321 Gellert Boulevard San Francisco CA 94015,(650) 994-1492,John Verzosa,"Mon- Thurs 9AM-5PM
 Fri 9AM-6PM
 Sat 9AM-1PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,Financial District,295 Bush Street San Francisco CA 94104,(415) 765-4886,Joanna Duthler,"Mon- Thurs 9AM-5PM
 Fri 9AM-5:30PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,Lakeside,2606 Ocean Avenue San Francisco CA 94132,(415) 239-8932,Ryan Terry,"Mon- Thurs 9AM-5PM
Fri 9AM-6PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,Mission,2812 Mission Street (Mission & 24th St.) San Francisco CA 94110,(415) 821-4900,Maria Huaman,"Monday-Thursday, 9AM - 5PM
Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,Montgomery St,505 Montgomery Street San Francisco CA 94111,(415) 616-8833,Raymond Hung,Mon-Fri 9-5pm,$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,North Beach,480 Columbus Avenue San Francisco CA 94133,(415) 982-1344,Maria Huaman," Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-1PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,One Front St,One Front Street San Francisco CA 94111,(415) 597-5300,Steve Adatepe,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-5:30PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,SF Main,295 Bush Street San Francisco CA 94104,(415) 765-4886,Joanna Duthler,": Monday-Thursday, 9AM-5PM,
Friday, 9AM-5:30PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,South San Francisco,2288 Westborough Boulevard San Francisco CA 94015,(650) 871-7455,Loreen Seid Jung,"Monday-Thursday, 9AM - 5PM
Friday, 9AM - 5:30PM
Saturday, 9AM - 1PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Bank of the West,Westlake,239 Westlake Center San Francisco CA 94015,(650) 756-5570,Loreen Seid Jung,"Monday-Thursday, 9AM - 5PM
Friday, 9AM - 6 PM
Saturday, 9AM - 1PM",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$35 ,$26 
Chase,Chinatown,1040 Grant Ave. San Francisco CA 94133,(415) 421-5421,Susan Wong,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Civic Center,1201 Market St. San Francisco CA 94103,(415) 241-8700,James Paron,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Daly City,5 Southgate Ave. San Francisco CA 94015,(650) 301-1700,Tra Thach,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Daly City,326 Gellert Blvd. San Francisco CA 94015,(650) 994-2903,Mirav S. Dahbour,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Daly City,2800 Junipero Serra Blvd. San Francisco CA 94015,(650) 991-9122,Carmen J. Martinez,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Financial District,700 Market St.  San Francisco CA 94014,(415) 274-3500,Hatien T. Congtang-Nguyen,"Monday - Friday, 9AM - 6PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Financial District,401 California St. San Francisco CA 94104,(415) 788-1037,Ting Ngan,"Monday - Friday, 9AM - 6PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Financial District,100 Pine St. San Francisco CA 94111,(415) 984-0472,Robert K. Lee,"Monday - Friday, 9AM - 6PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Financial District,2 Embarcadero Ctr. San Francisco CA 94111,(415) 984-0960,Lisa Anne Bashir,"Monday - Friday, 9AM - 6PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Marina,2166 Chestnut St.  San Francisco CA 94123,(415) 931-3393,Jose Corpuz,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Marina,2750 Van Ness Ave. San Francisco CA  94109,(415) 474-5052,Jennifer T. Congtang,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Mission,2900 Mission St. San Francisco CA 94110,(415) 824-3313,Joseph Andrew Karsada,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Noe Valley,3998 24th St. San Francisco CA 94114,(415) 285-3040,Mansoor Rahmani,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Northpoint,360 Bay St. San Francisco CA 94133,(415) 477-9028,Ricky Cheung,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Polk,1500 Polk San Francisco CA 94109,(415) 749-6535,Nicole Barletta,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Potrero,"2300 16th St., Ste.290 San Francisco CA 94103",(415) 703-0443,Adolfo B. Ferretti,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Richmond,5655 Geary Blvd. San Francisco CA 94121,(415) 750-5273,Olga N. Kartsev,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Richmond,301 Clement St. San Francisco CA 94118,(415) 386-8988,Winnie Ng,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,SoMa,"255 King St. Ste D,E,&F San Francisco CA 94118",(415) 348-1002,Vikram Anand,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Sunset,2323 Irving St. San Francisco CA 94122,(415) 759-2070,Crystal B. Joubert,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,Sunset,1811 19th Ave. San Francisco CA 94122,(415) 759-4240,Lisa Ho,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,The Haight,1720 Fulton St. San Francisco CA 94118,(415) 409-4820,Bryce Brownlie,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,West Portal,98 W. Portal Ave. San Francisco CA 94127,(415) 681-3444,Vikram Anand,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Chase,West Portal,926 Taraval St. San Francisco CA 94116,(415) 753-3711,Fang S. Lien,"Monday - Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,$34 ,$34 
Citibank,21st & Irving,2000 Irving St. San Francisco CA 94122,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,California St.,260 California St. San Francisco CA 94111,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Castro,444 Castro St. San Francisco CA 94114,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Cathedral Hill,1399 Post Street San Francisco CA 94109,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Chinatown,845 Grant Ave San Francisco CA 94108,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Chinatown/Jackson,1000 Grant Ave. San Francisco CA 94133,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Excelsior,4638 Mission St.  San Francisco CA 94112,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Financial District,245 Market St. San Francisco CA 94111,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,Glen Park,2895 Diamond Street San Francisco CA 94131,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
Citibank,International Banking Center,451 Montgomery St. San Francisco CA 94111,(800) 756-7047,N/A,"Mon-Thur 9-5pm
 Fri 9-6pm
 Sat 9-1pm",$100 ,$0 ,$10 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$34 ,$34 
